Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
39,tt30068042,2025-01-09,2025-01-09,,"The Accident","Accidente",https://www.imdb.com/title/tt30068042/,TV Series,5.7,45,2024,"Drama, Thriller",2791,2024-08-21,,,
40,tt0421239,2025-01-09,2025-01-09,,"Red Eye","Red Eye",https://www.imdb.com/title/tt0421239/,Movie,6.5,85,2005,"Thriller",151775,2005-08-19,"Wes Craven",,
41,tt12747748,2025-01-09,2025-01-09,,"Leave the World Behind","Leave the World Behind",https://www.imdb.com/title/tt12747748/,Movie,6.4,138,2023,"Drama, Mystery, Thriller",222378,2023-12-08,"Sam Esmail",,
42,tt1312171,2025-01-09,2025-01-09,,"The Umbrella Academy","The Umbrella Academy",https://www.imdb.com/title/tt1312171/,TV Series,7.8,60,2019,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",298327,2019-02-15,,,
43,tt2802144,2025-01-09,2025-01-09,,"Kingsman: The Secret Service","Kingsman: The Secret Service",https://www.imdb.com/title/tt2802144/,Movie,7.7,129,2014,"Action, Adventure, Comedy, Thriller",740929,2015-02-13,"Matthew Vaughn",,
44,tt4649466,2025-01-09,2025-01-09,,"Kingsman: The Golden Circle","Kingsman: The Golden Circle",https://www.imdb.com/title/tt4649466/,Movie,6.7,141,2017,"Action, Adventure, Comedy, Crime, Thriller",378526,2017-09-22,"Matthew Vaughn",,
45,tt12929990,2025-01-09,2025-01-09,,"Resort to Love","Resort to Love",https://www.imdb.com/title/tt12929990/,Movie,5.7,101,2021,"Comedy, Romance",7050,2021-07-29,"Steven K. Tsuchida",,
46,tt19862722,2025-01-09,2025-01-09,,"Find Me Falling","Find Me Falling",https://www.imdb.com/title/tt19862722/,Movie,6.3,93,2024,"Comedy, Music, Romance",11728,2024-07-19,"Stelana Kliris",,
47,tt0458352,2025-01-09,2025-01-09,,"The Devil Wears Prada","The Devil Wears Prada",https://www.imdb.com/title/tt0458352/,Movie,6.9,109,2006,"Comedy, Drama",490088,2006-06-30,"David Frankel",,
48,tt1049405,2025-01-09,2025-01-09,,"The Other End of the Line","The Other End of the Line",https://www.imdb.com/title/tt1049405/,Movie,6.1,106,2007,"Comedy, Drama, Family, Romance",6375,2007-03-23,"James Dodson",,
49,tt9860728,2025-01-09,2025-01-09,,"Falling Inn Love","Falling Inn Love",https://www.imdb.com/title/tt9860728/,Movie,5.7,98,2019,"Comedy, Romance",23011,2019-08-29,"Roger Kumble",,
50,tt14034294,2025-01-09,2025-01-09,,"Vanished Into the Night","Svaniti nella notte",https://www.imdb.com/title/tt14034294/,Movie,5.2,92,2024,"Drama, Thriller",4325,2024-07-11,"Renato De Maria",,
51,tt19759204,2025-01-09,2025-01-09,,"Recep Ivedik 7","Recep Ivedik 7",https://www.imdb.com/title/tt19759204/,Movie,5.0,133,2022,"Comedy",7698,2022-12-09,"Togan Gökbakar",,
52,tt27763561,2025-01-09,2025-01-09,,"Hierarchy","Hairaki",https://www.imdb.com/title/tt27763561/,TV Series,6.0,75,2024,"Drama, Romance, Thriller",3476,2024-06-07,,,
53,tt14899624,2025-01-09,2025-01-09,,"Another Self","Zeytin Agaci",https://www.imdb.com/title/tt14899624/,TV Series,7.0,50,2022,"Drama, Romance",17315,2022-07-28,,,
54,tt6823368,2025-01-09,2025-01-09,,"Glass","Glass",https://www.imdb.com/title/tt6823368/,Movie,6.6,129,2019,"Drama, Horror, Sci-Fi, Thriller",287537,2019-01-18,"M. Night Shyamalan",,
55,tt0309698,2025-01-09,2025-01-09,,"Identity","Identity",https://www.imdb.com/title/tt0309698/,Movie,7.3,90,2003,"Mystery, Thriller",275508,2003-04-25,"James Mangold",,
56,tt12383460,2025-01-09,2025-01-09,,"Hypnotic","Hypnotic",https://www.imdb.com/title/tt12383460/,Movie,5.3,88,2021,"Horror, Mystery, Thriller",20561,2021-10-27,"Matt Angel, Suzanne Coote",,
57,tt0211933,2025-01-09,2025-01-09,,"Awake","Awake",https://www.imdb.com/title/tt0211933/,Movie,6.5,84,2007,"Crime, Drama, Mystery, Thriller",82533,2007-11-30,"Joby Harold",,
58,tt0099582,2025-01-09,2025-01-09,,"Flatliners","Flatliners",https://www.imdb.com/title/tt0099582/,Movie,6.6,115,1990,"Drama, Horror, Sci-Fi, Thriller",95473,1990-08-10,"Joel Schumacher",,
59,tt13365348,2025-01-09,2025-01-09,,"Archive 81","Archive 81",https://www.imdb.com/title/tt13365348/,TV Series,7.3,60,2022,"Drama, Horror, Mystery, Sci-Fi, Thriller",62843,2022-01-14,,,
60,tt30423279,2025-01-09,2025-01-09,,"The 8 Show","Deo Eiteu Syo",https://www.imdb.com/title/tt30423279/,TV Series,7.2,60,2024,"Comedy, Drama, Horror, Mystery, Thriller",13880,2024-05-17,,,
61,tt15463032,2025-01-09,2025-01-09,,"Love in the Villa","Love in the Villa",https://www.imdb.com/title/tt15463032/,Movie,5.4,114,2022,"Comedy, Romance",14060,2022-09-01,"Mark Steven Johnson",,
62,tt1041829,2025-01-09,2025-01-09,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",374825,2009-06-19,"Anne Fletcher",,
63,tt9698442,2025-01-09,2025-01-09,,"Behind Her Eyes","Behind Her Eyes",https://www.imdb.com/title/tt9698442/,TV Mini Series,7.2,50,2021,"Drama, Mystery, Thriller",82129,2021-02-17,,,
64,tt13640670,2025-01-09,2025-01-09,,"Man vs. Bee","Man vs Bee",https://www.imdb.com/title/tt13640670/,TV Series,6.7,12,2022,"Short, Comedy, Family",35116,2022-06-24,,,
65,tt28267514,2025-01-09,2025-01-09,,"Thank You, Next","Kimler Geldi Kimler Geçti",https://www.imdb.com/title/tt28267514/,TV Series,5.9,45,2024,"Comedy, Drama, Romance",17378,2024-05-09,,,
66,tt6226232,2025-01-09,2025-01-09,,"Young Sheldon","Young Sheldon",https://www.imdb.com/title/tt6226232/,TV Series,7.7,30,2017,"Comedy",124989,2017-09-25,,,
67,tt16444502,2025-01-09,2025-01-09,,"Cem Yilmaz: Diamond Elite Platinum Plus","Cem Yilmaz: Diamond Elite Platinum Plus",https://www.imdb.com/title/tt16444502/,TV Special,6.6,94,2021,"Comedy",9829,2021-12-31,"Cem Yilmaz",,
68,tt26760483,2025-01-09,2025-01-09,,"Kübra","Kübra",https://www.imdb.com/title/tt26760483/,TV Series,6.2,45,2024,"Drama, Thriller",4210,2024-01-18,,,
69,tt5845758,2025-01-09,2025-01-09,,"Serial Cook","Sofra Sirlari",https://www.imdb.com/title/tt5845758/,Movie,6.7,98,2017,"Comedy, Crime, Drama",5593,2018-02-16,"Ümit Ünal",,
70,tt7748244,2025-01-09,2025-01-09,,"Mortal World","Ölümlü Dünya",https://www.imdb.com/title/tt7748244/,Movie,7.6,107,2018,"Action, Comedy, Crime",32794,2018-01-26,"Ali Atay",,
71,tt27933364,2025-01-09,2025-01-09,,"Mortal World 2","Ölümlü Dünya 2",https://www.imdb.com/title/tt27933364/,Movie,6.8,117,2023,"Comedy",9770,2023-12-01,"Ali Atay",,
72,tt1856010,2025-01-09,2025-01-09,,"House of Cards","House of Cards",https://www.imdb.com/title/tt1856010/,TV Series,8.6,50,2013,"Drama",541439,2013-02-01,,,
73,tt13323566,2025-01-09,2025-01-09,,"As the Crow Flies","Kus Uçusu",https://www.imdb.com/title/tt13323566/,TV Series,6.4,45,2022,"Drama",7551,2022-06-03,,,
74,tt13016388,2025-01-09,2025-01-09,,"3 Body Problem","3 Body Problem",https://www.imdb.com/title/tt13016388/,TV Series,7.5,60,2024,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",154083,2024-03-21,,,
75,tt26693803,2025-01-09,2025-01-09,,"King the Land","King deo raendeu",https://www.imdb.com/title/tt26693803/,TV Series,5.4,60,2023,"Comedy, Drama, Romance",136664,2023-06-17,,,
76,tt6697582,2025-01-09,2025-01-09,,"Arif V 216","Arif V 216",https://www.imdb.com/title/tt6697582/,Movie,7.0,125,2018,"Comedy, Sci-Fi",40004,2018-01-05,"Kivanç Baruönü",,
77,tt4955642,2025-01-09,2025-01-09,,"The Good Place","The Good Place",https://www.imdb.com/title/tt4955642/,TV Series,8.2,22,2016,"Comedy, Drama, Fantasy, Mystery, Romance",201220,2016-09-19,,,
